id_espaco,rua,tipo_ibge,lat,lon,nome_estab
IBGE-280408,"TRAVESSA SAO CRISTOVAO VELHO, 44",Residencial,-10.910265,-37.056502,
IBGE-280407,"TRAVESSA SAO CRISTOVAO VELHO, 44",Residencial,-10.910243,-37.056503,
IBGE-280409,"TRAVESSA SAO CRISTOVAO VELHO, 200",Residencial,-10.91024,-37.056515,
IBGE-280409,"TRAVESSA SAO CRISTOVAO VELHO, 200",Loja/Comércio/Serviço,-10.91024,-37.056515,DEPOSITO
IBGE-280412,"TRAVESSA SAO CRISTOVAO VELHO, 892",Loja/Comércio/Serviço,-10.910192,-37.056597,MERCEARIA
IBGE-280411,"TRAVESSA SAO CRISTOVAO VELHO, 892",Loja/Comércio/Serviço,-10.910156,-37.056583,DEPOSITO
IBGE-280410,"TRAVESSA SAO CRISTOVAO VELHO, 892",Residencial,-10.91015,-37.05655,
IBGE-280417,"TRAVESSA SAO CRISTOVAO VELHO, 58",Residencial,-10.91024,-37.056606,
IBGE-280416,"TRAVESSA SAO CRISTOVAO VELHO, 58",Residencial,-10.91025,-37.056615,
IBGE-280415,"TRAVESSA SAO CRISTOVAO VELHO, 58",Residencial,-10.910278,-37.056624,
IBGE-280419,"TRAVESSA SAO CRISTOVAO VELHO, 64",Residencial,-10.910105,-37.056643,
IBGE-280425,"TRAVESSA SAO CRISTOVAO VELHO, 64",Residencial,-10.909906,-37.056502,
IBGE-280423,"TRAVESSA SAO CRISTOVAO VELHO, 64",Residencial,-10.910099,-37.056644,
IBGE-280422,"TRAVESSA SAO CRISTOVAO VELHO, 64",Residencial,-10.910035,-37.056679,
IBGE-280421,"TRAVESSA SAO CRISTOVAO VELHO, 64",Residencial,-10.909985,-37.056584,
IBGE-280431,"TRAVESSA SAO CRISTOVAO VELHO, 68",Residencial,-10.910172,-37.056668,
IBGE-280430,"TRAVESSA SAO CRISTOVAO VELHO, 68",Residencial,-10.910218,-37.05665,
IBGE-280429,"TRAVESSA SAO CRISTOVAO VELHO, 68",Residencial,-10.910218,-37.05665,
IBGE-280433,"TRAVESSA SAO CRISTOVAO VELHO, 70",Residencial,-10.910206,-37.056692,
